Product Group,Product Category,Printing Pages / Sides,Variables,Size,Material Specification,Finish,"Tax Label","Tax Rate","Unit Price",Unit ,"Ink Cost","Sheet Cost","Lamination Cost",OR Cost,Input - Height (mm),Input - Width (mm),Quantity 
Display,Vinyl Wood & Door,1,Cut To Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£11.44,sq/m,£3.66,£2.68,£1.76,£1.43,,,
Display,Vinyl Bathroom Panelling,1,Rectangle/Square Shape,Zero,No Colour,Lamination Matt,VAT,20%,£10.63,sq/m,£3.66,£2.85,£2.69,£1.43,,,
Display,Vinyl Bathroom Panelling,1,Cut To Shape,Zero,No Colour,Lamination Matt,VAT,20%,£12.76,sq/m,£3.66,£2.85,£2.69,£1.43,,,
Display,Vinyl Bathroom Panelling,1,Rectangle/Square Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£10.63,sq/m,£3.66,£2.85,£2.69,£1.43,,,
Display,Vinyl Bathroom Panelling,1,Cut To Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£12.76,sq/m,£3.66,£2.85,£2.69,£1.43,,,
Display,Vinyl Removeable,1,Rectangle/Square Shape,Zero,No Colour,Lamination Matt,VAT,20%,£8.36,sq/m,£3.66,£1.51,£1.76,£1.43,,,
Display,Vinyl Removeable,1,Cut To Shape,Zero,No Colour,Lamination Matt,VAT,20%,£10.03,sq/m,£3.66,£1.51,£1.76,£1.43,,,
Display,Vinyl Removeable,1,Rectangle/Square Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£8.36,sq/m,£3.66,£1.51,£1.76,£1.43,,,
Display,Vinyl Removeable,1,Cut To Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£10.03,sq/m,£3.66,£1.51,£1.76,£1.43,,,
Display,Vinyl Low tack,1,Rectangle/Square Shape,Zero,No Colour,Lamination Matt,VAT,20%,£10.27,sq/m,£3.66,£2.35,£2.83,£1.43,,,
Display,Vinyl Low tack,1,Cut To Shape,Zero,No Colour,Lamination Matt,VAT,20%,£12.32,sq/m,£3.66,£2.35,£2.83,£1.43,,,
Display,Vinyl Low tack,1,Rectangle/Square Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£10.27,sq/m,£3.66,£2.35,£2.83,£1.43,,,
Display,Vinyl Low tack,1,Cut To Shape,Zero,No Colour,Lamination Gloss,VAT,20%,£12.32,sq/m,£3.66,£2.35,£2.83,£1.43,,,
Display,Vinyl Dry Wipe,1,Rectangle/Square Shape,Zero,No Colour,Lamination ,VAT,20%,£11.51,sq/m,£3.66,£2.68,£3.74,£1.43,,,
Display,Vinyl Dry Wipe,1,Cut To Shape,Zero,No Colour,Lamination ,VAT,20%,£13.81,sq/m,£3.66,£2.68,£3.74,£1.43,,,
Display,Vinyl Vehicle Wrap,1,Standard Cut,Zero,No Colour,Lamination Gloss,VAT,20%,£10.41,sq/m,£3.66,£2.68,£2.64,£1.43,,,
Display,Vinyl Vehicle Wrap,1,Standard Cut,Zero,No Colour,Lamination Gloss,VAT,20%,£19.36,sq/m,£3.66,£8.17,£6.10,£1.43,,,
Display,CAD Cut Vinyl ,1,Rectangle/Square Shape,Zero,Printed,Lamination Gloss,VAT,20%,£9.75,sq/m,£3.66,£1.48,£1.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Rectangle/Square Shape,Zero,Printed,Lamination Gloss,VAT,20%,£17.39,sq/m,£3.66,£8.12,£2.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Cut To Shape,Zero,Printed,Lamination Gloss,VAT,20%,£11.21,sq/m,£3.66,£1.48,£1.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Cut To Shape,Zero,Printed,Lamination Gloss,VAT,20%,£20.00,sq/m,£3.66,£8.12,£2.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Rectangle/Square Shape,Zero,Printed,Lamination Matt,VAT,20%,£9.75,sq/m,£3.66,£1.48,£1.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Rectangle/Square Shape,Zero,Printed,Lamination Matt,VAT,20%,£17.39,sq/m,£3.66,£8.12,£2.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Cut To Shape,Zero,Printed,Lamination Matt,VAT,20%,£11.21,sq/m,£3.66,£1.48,£1.76,£2.85,,,
Display,CAD Cut Vinyl ,1,Cut To Shape,Zero,Printed,Lamination Matt,VAT,20%,£20.00,sq/m,£3.66,£8.12,£2.76,£2.85,,,
Display,CAD Cut Vinyl ,0,Cut To Shape,Zero,Standard - 0,No Lamination,VAT,20%,£12.28,sq/m,£0.00,£7.12,£0.00,£3.56,,,
